player_name,over,min_runs,max_runs,avg_runs
AC Voges,13,1,10,5.333333333333333
AC Voges,14,0,9,3.4
AC Voges,15,1,10,4.75
AC Voges,16,0,10,4.0
AC Voges,17,1,6,3.0
AC Voges,18,1,6,3.0
AC Voges,19,1,14,8.666666666666666
AD Hales,0,0,6,2.0
AD Hales,1,0,9,6.166666666666667
AD Hales,2,0,11,3.2
AD Hales,3,1,2,1.5
AD Hales,4,2,7,5.0
AD Hales,5,4,19,9.333333333333334
AD Hales,6,1,2,1.6666666666666667
AD Hales,7,2,4,2.6666666666666665
AD Hales,8,2,4,3.0
AD Hales,9,7,7,7.0
AD Hales,10,6,6,6.0
AD Hales,12,1,1,1.0
AD Hales,13,1,1,1.0
AD Mascarenhas,4,4,4,4.0
AD Mascarenhas,8,0,0,0.0
AD Mascarenhas,9,1,1,1.0
AD Mascarenhas,10,1,1,1.0
AD Mascarenhas,11,2,2,2.0
AD Mascarenhas,12,1,2,1.5
AD Mascarenhas,13,1,3,2.0
AD Mascarenhas,14,1,6,3.25
AD Mascarenhas,15,2,6,4.25
AD Mascarenhas,16,0,8,2.8
AD Mascarenhas,17,1,3,2.0
AD Mascarenhas,18,1,4,2.5
AD Mascarenhas,19,4,5,4.5
AD Mathews,4,2,2,2.0
AD Mathews,5,0,7,2.0
AD Mathews,6,0,7,2.0
AD Mathews,7,1,10,2.8333333333333335
AD Mathews,8,0,5,1.5
AD Mathews,9,0,4,1.3636363636363635
AD Mathews,10,0,11,2.8181818181818183
AD Mathews,11,0,9,3.25
AD Mathews,12,1,9,3.3076923076923075
AD Mathews,13,0,10,2.5789473684210527
AD Mathews,14,1,19,4.0
AD Mathews,15,1,14,5.15
AD Mathews,16,0,9,3.272727272727273
AD Mathews,17,0,17,4.619047619047619
AD Mathews,18,0,19,5.2105263157894735
AD Mathews,19,0,9,3.176470588235294
AD Nath,3,0,1,0.5
AD Nath,4,1,2,1.5
AD Nath,5,7,7,7.0
AD Nath,6,1,1,1.0
AD Nath,7,0,7,3.2
AD Nath,8,0,2,1.2
AD Nath,9,1,2,1.5
AD Nath,10,1,10,5.5
AD Nath,11,0,2,1.0
AD Nath,12,1,3,2.0
AD Nath,13,0,1,0.5
AD Nath,14,5,7,6.0
AD Nath,15,1,5,3.0
AD Nath,16,0,5,1.6666666666666667
AD Nath,17,1,4,2.3333333333333335
AD Nath,18,1,3,2.0
AD Nath,19,0,0,0.0
AD Russell,0,4,4,4.0
AD Russell,3,1,1,1.0
AD Russell,4,6,6,6.0
AD Russell,5,0,16,10.0
AD Russell,6,0,11,3.0
AD Russell,7,0,13,4.75
AD Russell,8,0,24,6.0
AD Russell,9,0,22,5.266666666666667
